Education Index HDI Rank (2017),Country,2014,,2015,,2016
57, Malaysia,0.708,,0.713,,0.719
101, Maldives,0.551,,0.561,,0.56
182, Mali,0.285,,0.286,,0.287
29, Malta,0.798,,0.81,,0.818
106, Marshall Islands,,,,,
159, Mauritania,0.381,,0.381,,0.385
65, Mauritius,0.729,,0.721,,0.729
74, Mexico,0.655,,0.666,,0.678
131, Micronesia (Federated States of),0.59,,0.59,,0.592
112, Moldova (Republic of),0.714,,0.709,,0.71
92, Mongolia,0.75,,0.754,,0.766
50, Montenegro,0.791,,0.79,,0.79
123, Morocco,0.504,,0.51,,0.525
180, Mozambique,0.383,,0.385,,0.385
148, Myanmar,0.431,,0.436,,0.44
129, Namibia,0.565,,0.565,,0.569
149, Nepal,0.488,,0.495,,0.502
10, Netherlands,0.902,,0.903,,0.905
16, New Zealand,0.907,,0.914,,0.917
124, Nicaragua,0.553,,0.553,,0.558
189, Niger,0.207,,0.208,,0.212
157, Nigeria,0.475,,0.477,,0.483
1, Norway,0.907,,0.908,,0.915
48, Oman,0.692,,0.706,,0.706
150, Pakistan,0.395,,0.398,,0.411
60, Palau,0.818,,0.826,,0.837
119," Palestine, State of",0.655,,0.657,,0.66
66, Panama,0.681,,0.681,,0.687
153, Papua New Guinea,0.42,,0.429,,0.429
110, Paraguay,0.63,,0.637,,0.631
89, Peru,0.696,,0.686,,0.688
113, Philippines,0.657,,0.661,,0.661
33, Poland,0.822,,0.853,,0.862
41, Portugal,0.755,,0.757,,0.759
37, Qatar,0.698,,0.698,,0.698
52, Romania,0.765,,0.767,,0.762
49, Russian Federation,0.812,,0.828,,0.832
158, Rwanda,0.445,,0.434,,0.45
72, Saint Kitts and Nevis,0.674,,0.674,,0.674
90, Saint Lucia,0.661,,0.676,,0.676
99, Saint Vincent and the Grenadines,0.654,,0.655,,0.655
104, Samoa,0.688,,0.689,,0.692
143, Sao Tome and Principe,0.5,,0.534,,0.546
39, Saudi Arabia,0.787,,0.787,,0.787
164, Senegal,0.347,,0.354,,0.361
67, Serbia,0.756,,0.766,,0.778
62, Seychelles,0.715,,0.721,,0.724
184, Sierra Leone,0.374,,0.376,,0.382
9, Singapore,0.828,,0.83,,0.83
38, Slovakia,0.821,,0.831,,0.831
25, Slovenia,0.876,,0.879,,0.887
152, Solomon Islands,0.458,,0.465,,0.465
113, South Africa,0.703,,0.708,,0.708
187, South Sudan,0.297,,0.297,,0.297
26, Spain,0.813,,0.819,,0.824
76, Sri Lanka,0.749,,0.751,,0.749
167, Sudan,0.32,,0.324,,0.326
100, Suriname,0.621,,0.632,,0.636
7, Sweden,0.882,,0.902,,0.904
2, Switzerland,0.892,,0.894,,0.897
155, Syrian Arab Republic,0.431,,0.412,,0.412
127, Tajikistan,0.664,,0.662,,0.66
154, Tanzania (United Republic of),0.42,,0.441,,0.441
83, Thailand,0.629,,0.64,,0.65
80, The former Yugoslav Republic of Macedonia,0.676,,0.689,,0.691
132, Timor-Leste,0.504,,0.505,,0.505
165, Togo,0.499,,0.5,,0.506
98, Tonga,0.766,,0.769,,0.769
69, Trinidad and Tobago,0.714,,0.715,,0.722
95, Tunisia,0.64,,0.646,,0.656
64, Turkey,0.678,,0.683,,0.689
108, Turkmenistan,0.627,,0.627,,0.629
162, Uganda,0.495,,0.501,,0.504
88, Ukraine,0.794,,0.794,,0.794
34, United Arab Emirates,0.732,,0.737,,0.738
14, United Kingdom,0.92,,0.911,,0.914
13, United States,0.898,,0.9,,0.903
55, Uruguay,0.736,,0.731,,0.733
105, Uzbekistan,0.702,,0.704,,0.708
138, Vanuatu,0.529,,0.529,,0.529
78, Venezuela (Bolivarian Republic of),0.729,,0.733,,0.733
116, Viet Nam,0.613,,0.619,,0.621
178, Yemen,0.349,,0.349,,0.349
144, Zambia,0.577,,0.577,,0.58
156, Zimbabwe,0.558,,0.558,,0.558
